metric,pe_type,dataset,mean,std,n_seeds
linear_probe,learned,food101,0.5776,0.0026,3
linear_probe,learned,oxford_pets,0.6760,0.0042,3
linear_probe,learned,fgvc_aircraft,0.3371,0.0045,3
linear_probe,learned,oxford_flowers,0.6484,0.0093,3
linear_probe,learned,dtd,0.4794,0.0103,3
linear_probe,sinusoidal,food101,0.5843,0.0036,3
linear_probe,sinusoidal,oxford_pets,0.7066,0.0023,3
linear_probe,sinusoidal,fgvc_aircraft,0.3579,0.0047,3
linear_probe,sinusoidal,oxford_flowers,0.6709,0.0038,3
linear_probe,sinusoidal,dtd,0.4984,0.0066,3
linear_probe,rope,food101,0.6014,0.0013,3
linear_probe,rope,oxford_pets,0.7620,0.0046,3
linear_probe,rope,fgvc_aircraft,0.4002,0.0031,3
linear_probe,rope,oxford_flowers,0.6796,0.0041,3
linear_probe,rope,dtd,0.5090,0.0041,3
linear_probe,alibi,food101,0.5735,0.0024,3
linear_probe,alibi,oxford_pets,0.7048,0.0066,3
linear_probe,alibi,fgvc_aircraft,0.3556,0.0054,3
linear_probe,alibi,oxford_flowers,0.6441,0.0050,3
linear_probe,alibi,dtd,0.4754,0.0037,3
knn_k20,learned,food101,0.2398,0.0048,3
knn_k20,learned,oxford_pets,0.4391,0.0104,3
knn_k20,learned,fgvc_aircraft,0.1436,0.0061,3
knn_k20,learned,oxford_flowers,0.3100,0.0066,3
knn_k20,learned,dtd,0.3140,0.0064,3
knn_k20,sinusoidal,food101,0.2467,0.0022,3
knn_k20,sinusoidal,oxford_pets,0.4558,0.0037,3
knn_k20,sinusoidal,fgvc_aircraft,0.1561,0.0074,3
knn_k20,sinusoidal,oxford_flowers,0.3165,0.0037,3
knn_k20,sinusoidal,dtd,0.3270,0.0013,3
knn_k20,rope,food101,0.2583,0.0053,3
knn_k20,rope,oxford_pets,0.5074,0.0063,3
knn_k20,rope,fgvc_aircraft,0.1869,0.0009,3
knn_k20,rope,oxford_flowers,0.3131,0.0031,3
knn_k20,rope,dtd,0.3337,0.0024,3
knn_k20,alibi,food101,0.2471,0.0036,3
knn_k20,alibi,oxford_pets,0.4497,0.0097,3
knn_k20,alibi,fgvc_aircraft,0.1662,0.0030,3
knn_k20,alibi,oxford_flowers,0.3072,0.0054,3
knn_k20,alibi,dtd,0.3215,0.0070,3
